id,name,category,latLng,url
4b620b0ff964a5202c322ae3,Playa Varese,Playa,"-38.01304513267234-57.53057241439819",https://foursquare.com/v/playa-varese/4b620b0ff964a5202c322ae3
4d34a7d35c2db60c53a3d56c,Playa Grande,Playa,"-38.028588430030446-57.53158092498779",https://foursquare.com/v/playa-grande/4d34a7d35c2db60c53a3d56c
50ec828fe4b00d66206e40b5,Mar del Plata,Playa,"-38.00057203305859-57.54773888805293",https://foursquare.com/v/mar-del-plata/50ec828fe4b00d66206e40b5
4d3db2f0557d6dcbf8374744,Las Toscas / Paseo Hermitage,Playa,"-38.00821816034434-57.53657119746643",https://foursquare.com/v/las-toscas--paseo-hermitage/4d3db2f0557d6dcbf8374744
4e43dcb8922ed454ab36f4eb,CONSTITUCION Y LA COSTA,Playa,"-37.970962808416914-57.54236340522766",https://foursquare.com/v/constitucion-y-la-costa/4e43dcb8922ed454ab36f4eb
4d32528ceefa8cfa4c9835b3,Playa Bristol,Playa,"-38.00125234121329-57.54067897796631",https://foursquare.com/v/playa-bristol/4d32528ceefa8cfa4c9835b3
4b68dc30f964a52086902be3,Costa del Sol,Playa,"-37.96505046217136-57.53993243635935",https://foursquare.com/v/costa-del-sol/4b68dc30f964a52086902be3
4bb4bfa886a8d13a99cade7f,Playa Perla Norte,Playa,"-37.98459549118243-57.544026374816895",https://foursquare.com/v/playa-perla-norte/4bb4bfa886a8d13a99cade7f
4b5ba713f964a520d40d29e3,Puerto de Palos,Playa,"-38.04652568-57.542858933333335",https://foursquare.com/v/puerto-de-palos/4b5ba713f964a520d40d29e3
5092b6a4e4b04afbb0e09756,balneario torreon,Playa,"-38.00709628350032-57.53719589323273",https://foursquare.com/v/balneario-torreon/5092b6a4e4b04afbb0e09756
4d4232341da9a09312dd5f3d,Alfonsina,Playa,"-37.99389673673869-57.543500661849976",https://foursquare.com/v/alfonsina/4d4232341da9a09312dd5f3d
4b802638f964a520c45630e3,Barrio Alfar,Playa,"-38.09886042930684-57.55889671125586",https://foursquare.com/v/barrio-alfar/4b802638f964a520c45630e3
4c6c4cf3a437224b19fb29b1,Club Nautico,Playa,"-38.041736482076765-57.54034154188741",https://foursquare.com/v/club-nautico/4c6c4cf3a437224b19fb29b1
4ce6c93ccd2c6a31089d452f,Balneario Saint Michel,Playa,"-37.992738373172145-57.54364013671875",https://foursquare.com/v/balneario-saint-michel/4ce6c93ccd2c6a31089d452f
4d221a89d7b0b1f720a2229f,Bahia Punta Chica,Playa,"-38.02101853991312-57.52770976486986",https://foursquare.com/v/bahia-punta-chica/4d221a89d7b0b1f720a2229f
50f1b203e4b00237e55459fb,Playa Serena,Playa,"-38.1074517472928-57.572428133280894",https://foursquare.com/v/playa-serena/50f1b203e4b00237e55459fb
4d175bb66d103704fd7c36bd,Honu Beach,Playa,"-38.088498306690504-57.54228757927696",https://foursquare.com/v/honu-beach/4d175bb66d103704fd7c36bd
50ccc503e4b029bca687ed2f,Playa acantilados,Playa,"-38.118388703683216-57.59212287058962",https://foursquare.com/v/playa-acantilados/50ccc503e4b029bca687ed2f
4f11bf96e4b0804e8aaaac0f,Balneario Guillermo,Playa,"-38.084789680625676-57.53966154303881",https://foursquare.com/v/balneario-guillermo/4f11bf96e4b0804e8aaaac0f
4cb3385539458cfa7acf18a0,El Mirador,Playa,"-37.83124737080852-57.4931557047538",https://foursquare.com/v/el-mirador/4cb3385539458cfa7acf18a0
4dce9fc8e4cd130e166b3274,Playa Chica,Playa,"-38.02010299278912-57.52574443817139",https://foursquare.com/v/playa-chica/4dce9fc8e4cd130e166b3274
